PDC Year,Log name,Algorithm,TP,FP,TN,FN,Fscore (PDC),Fscore,balancedAccuracy,mcc,Fitness,Simplicity,Subprocesses,Events,Runtime
PDC20,pdc_2020_1200001.xes,DisCoveR,485,381,134,0,0.41294298921417566,0.7179866765358993,0.6300970873786408,0.3817338812193174,1.0,122,0,36,0.5807785987854004
PDC20,pdc_2020_1200001.xes,Sp-DisCoveR,485,381,134,0,0.41294298921417566,0.7179866765358993,0.6300970873786408,0.3817338812193174,1.0,122,0,36,2.4531972408294678
PDC20,pdc_2020_1200001.xes,Sp-DisCoveR_no_i2e_e2i,485,381,134,0,0.41294298921417566,0.7179866765358993,0.6300970873786408,0.3817338812193174,1.0,122,0,36,2.439761161804199
PDC20,pdc_2020_1210110.xes,DisCoveR,525,229,246,0,0.6823855755894591,0.8209538702111024,0.7589473684210526,0.6005023724017138,1.0,154,0,32,0.3671879768371582
PDC20,pdc_2020_1210110.xes,Sp-DisCoveR,525,229,246,0,0.6823855755894591,0.8209538702111024,0.7589473684210526,0.6005023724017138,1.0,155,1,33,1.7225589752197266
PDC20,pdc_2020_1210110.xes,Sp-DisCoveR_no_i2e_e2i,525,238,237,0,0.6657303370786517,0.8152173913043478,0.7494736842105263,0.5859286726761433,1.0,149,1,33,1.684396743774414
PDC20,pdc_2020_0201011.xes,DisCoveR,510,464,26,0,0.10077519379844961,0.6873315363881402,0.5265306122448979,0.16668412653520684,1.0,10,0,22,0.41434383392333984
PDC20,pdc_2020_0201011.xes,Sp-DisCoveR,510,462,28,0,0.1081081081081081,0.6882591093117408,0.5285714285714286,0.17315416054977326,1.0,10,0,22,1.5277738571166992
PDC20,pdc_2020_0201011.xes,Sp-DisCoveR_no_i2e_e2i,510,462,28,0,0.1081081081081081,0.6882591093117408,0.5285714285714286,0.17315416054977326,1.0,10,0,22,1.5197532176971436
PDC20,pdc_2020_0011010.xes,DisCoveR,500,99,401,0,0.8901220865704773,0.9099181073703366,0.901,0.8181986811300817,1.0,38,0,14,0.04151272773742676
PDC20,pdc_2020_0011010.xes,Sp-DisCoveR,500,99,401,0,0.8901220865704773,0.9099181073703366,0.901,0.8181986811300817,1.0,32,1,15,0.5820672512054443
PDC20,pdc_2020_0011010.xes,Sp-DisCoveR_no_i2e_e2i,500,99,401,0,0.8901220865704773,0.9099181073703366,0.901,0.8181986811300817,1.0,32,1,15,0.46968746185302734
PDC20,pdc_2020_0101010.xes,DisCoveR,525,222,253,0,0.695054945054945,0.8254716981132075,0.7663157894736843,0.6118328718821999,1.0,40,0,22,0.2979166507720947
PDC20,pdc_2020_0101010.xes,Sp-DisCoveR,525,222,253,0,0.695054945054945,0.8254716981132075,0.7663157894736843,0.6118328718821999,1.0,40,0,22,1.2285306453704834
PDC20,pdc_2020_0101010.xes,Sp-DisCoveR_no_i2e_e2i,525,222,253,0,0.695054945054945,0.8254716981132075,0.7663157894736843,0.6118328718821999,1.0,40,0,22,1.2089428901672363
PDC20,pdc_2020_0100100.xes,DisCoveR,557,210,231,2,0.6866524711419926,0.8401206636500754,0.760115853139109,0.6110072642158573,1.0,118,0,32,0.3844313621520996
PDC20,pdc_2020_0100100.xes,Sp-DisCoveR,557,210,231,2,0.6866524711419926,0.8401206636500754,0.760115853139109,0.6110072642158573,1.0,118,0,32,1.6800696849822998
PDC20,pdc_2020_0100100.xes,Sp-DisCoveR_no_i2e_e2i,557,210,231,2,0.6866524711419926,0.8401206636500754,0.760115853139109,0.6110072642158573,1.0,118,0,32,1.6847290992736816
PDC20,pdc_2020_0211011.xes,DisCoveR,518,443,39,0,0.14971209213051825,0.7004732927653821,0.5404564315352697,0.2088391757360227,1.0,16,0,22,0.1709599494934082
PDC20,pdc_2020_0211011.xes,Sp-DisCoveR,518,443,39,0,0.14971209213051825,0.7004732927653821,0.5404564315352697,0.2088391757360227,1.0,16,0,22,1.153486967086792
